,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
3129,127705,Cha Ye-ryun,"Seoul, South Korea",,1.0,Acting,7.186,https://image.tmdb.org/t/p/original/d2iUiT1wTD6Ezjbkbh3ZzD5vYtl.jpg,1985-07-16,1985.0,7.0,1.0
3130,2814163,Choi Yeong-Wan,"Yeonggwang-gun, South Korea",,1.0,Acting,1.348,https://image.tmdb.org/t/p/original/sp50GOIBCOeomtSCCd657peGp1G.jpg,1980-12-29,1980.0,12.0,0.0
3131,1572353,Lee Joo-woo,,,1.0,Acting,4.073,https://image.tmdb.org/t/p/original/tvDcoBmPaKspg30FUmRkgH7pQDy.jpg,1990-09-03,1990.0,9.0,0.0
3132,2772781,Lee Chae-kyung,South Korea,,1.0,Acting,1.934,https://image.tmdb.org/t/p/original/6HiiyBkEjOe0WdBq0YSTqcGFMz5.jpg,1975-01-22,1975.0,1.0,2.0
3133,3361407,Kim Won Pil,,,,Acting,0.6,,,,,
3134,1335802,Park Seo-yeon,South Korea,,1.0,Acting,7.634,https://image.tmdb.org/t/p/original/yBv7w9KSGxi0nwHSo1lyhmjoIQ7.jpg,1987-05-05,1987.0,5.0,1.0
3135,2823632,Lara,South Korea,,1.0,Acting,0.6,https://image.tmdb.org/t/p/original/36WlLhpoanZP0rb7iDQp8zNnDT3.jpg,2000-08-09,2000.0,8.0,2.0
3136,571174,Bae Je-gi,,,2.0,Acting,2.155,https://image.tmdb.org/t/p/original/ux3fuONCOMxEuU9aye1mwqMYsRk.jpg,1986-05-15,1986.0,5.0,3.0
3137,2319725,Go Sung Min,,,1.0,Acting,0.6,,,,,
3138,1229707,Oh Yoon-ah,"Ulsan, South Korea",,1.0,Acting,3.568,https://image.tmdb.org/t/p/original/brmtttZs8YmueKUgCCqycUsSfZE.jpg,1980-10-14,1980.0,10.0,1.0
3139,1677007,Kim Tae Hwan,,,2.0,Acting,1.735,https://image.tmdb.org/t/p/original/uaK5ADzd2hkhtfGK18K3c9tqmVF.jpg,1992-07-12,1992.0,7.0,6.0
3140,1669141,Shin Seung-hwan,"Busan, South Korea",,2.0,Acting,4.272,https://image.tmdb.org/t/p/original/i8AWSONGmO21sdx5V1CPNQJ4fvO.jpg,1978-12-12,1978.0,12.0,1.0
